time,threads,func,result
38998238, 1, 1, 857241
19838762, 2, 1, 857241
12851472, 5, 1, 857241
10843862, 10, 1, 857241
10568548, 20, 1, 857241
10569998, 25, 1, 857241
10517764, 50, 1, 857241
10328677, 100, 1, 857241
