time,threads,func,result
31789, 1, 1, -1.60467
15914, 2, 1, -1.60467
10817, 5, 1, -1.60467
8840, 10, 1, -1.60467
8208, 20, 1, -1.60467
7754, 25, 1, -1.60467
8466, 50, 1, -1.60467
10814, 100, 1, -1.60467
