time,threads,func,result
103660442, 1, 1, -5.24321
52057264, 2, 1, -5.24321
34977568, 5, 1, -5.24321
30635826, 10, 1, -5.24321
30208603, 20, 1, -5.24321
30017935, 25, 1, -5.24321
29935971, 50, 1, -5.24321
29685136, 100, 1, -5.24321
